Obs (m above NAVD88),Flow (m^3/s)
1.2287439999999998,5.6916768
1.350664,2.5315219200000003
1.4360080000000002,36.528672
1.2439840000000002,5.4934592
1.457344,3.2281152
1.667656,1.6706912
1.4390560000000001,38.22768
1.481728,37.378175999999996
1.4603920000000001,12.459392
1.527448,82.96822399999999
1.335424,1.699008
1.5030640000000002,12.600976
1.685944,3.7661344
1.588408,49.271232
2.11876,99.675136
1.26532,32.847488
1.335424,22.0587872
1.6006,14.6397856
1.759096,10.3639488
2.0821840000000003,12.0912736
1.57012,3.9360352
1.6554640000000003,3.8794016
1.7956720000000002,98.825632
1.500016,42.192032
3.816496,78.437536
1.5945040000000001,18.547504
1.6463200000000002,59.46528
1.43296,33.413824
1.4024800000000002,53.518752
1.4390560000000001,47.855392
1.411624,13.6486976
1.6981359999999999,98.25929599999999
1.6768,45.30688
1.749952,404.93023999999997
1.716424,27.5805632
1.618888,21.3508672
2.08828,104.488992
