Obs (m above NAVD88),Flow (m^3/s)
0.618744,5.6916768
0.7406640000000001,2.5315219200000003
0.8260080000000001,36.528672
0.6339840000000001,5.4934592
0.847344,3.2281152
1.0576560000000002,1.6706912
0.8290560000000001,38.22768
0.8717280000000001,37.378175999999996
0.850392,12.459392
0.9174479999999999,82.96822399999999
0.725424,1.699008
0.8930640000000001,12.600976
1.075944,3.7661344
0.978408,49.271232
1.50876,99.675136
0.65532,32.847488
0.725424,22.0587872
0.9906,14.6397856
1.1490960000000001,10.3639488
1.4721840000000002,12.0912736
0.96012,3.9360352
1.0454640000000002,3.8794016
1.185672,98.825632
0.890016,42.192032
3.206496,78.437536
0.984504,18.547504
1.0363200000000001,59.46528
0.8229600000000001,33.413824
0.7924800000000001,53.518752
0.8290560000000001,47.855392
0.801624,13.6486976
1.088136,98.25929599999999
1.0668,45.30688
1.139952,404.93023999999997
1.106424,27.5805632
1.008888,21.3508672
1.47828,104.488992
