Obs (m above NAVD88),Flow (m^3/s)
1.428744,5.6916768
1.5506640000000003,2.5315219200000003
1.6360080000000001,36.528672
1.4439840000000002,5.4934592
1.6573440000000002,3.2281152
1.8676560000000002,1.6706912
1.639056,38.22768
1.6817280000000001,37.378175999999996
1.660392,12.459392
1.7274479999999999,82.96822399999999
1.535424,1.699008
1.7030640000000001,12.600976
1.885944,3.7661344
1.788408,49.271232
2.31876,99.675136
1.4653200000000002,32.847488
1.535424,22.0587872
1.8006000000000002,14.6397856
1.9590960000000002,10.3639488
2.282184,12.0912736
1.77012,3.9360352
1.8554640000000002,3.8794016
1.9956720000000001,98.825632
1.7000160000000002,42.192032
4.016496,78.437536
1.794504,18.547504
1.8463200000000002,59.46528
1.6329600000000002,33.413824
1.6024800000000001,53.518752
1.639056,47.855392
1.611624,13.6486976
1.898136,98.25929599999999
1.8768,45.30688
1.9499520000000001,404.93023999999997
1.9164240000000001,27.5805632
1.818888,21.3508672
2.2882800000000003,104.488992
