Obs (m above NAVD88),Flow (m^3/s)
1.2987440000000001,5.6916768
1.4206640000000001,2.5315219200000003
1.506008,36.528672
1.313984,5.4934592
1.527344,3.2281152
1.7376560000000003,1.6706912
1.5090560000000002,38.22768
1.5517280000000002,37.378175999999996
1.530392,12.459392
1.597448,82.96822399999999
1.405424,1.699008
1.573064,12.600976
1.755944,3.7661344
1.658408,49.271232
2.1887600000000003,99.675136
1.33532,32.847488
1.405424,22.0587872
1.6706,14.6397856
1.8290960000000003,10.3639488
2.152184,12.0912736
1.64012,3.9360352
1.725464,3.8794016
1.865672,98.825632
1.570016,42.192032
3.886496,78.437536
1.664504,18.547504
1.71632,59.46528
1.5029600000000003,33.413824
1.47248,53.518752
1.5090560000000002,47.855392
1.481624,13.6486976
1.7681360000000002,98.25929599999999
1.7468,45.30688
1.8199520000000002,404.93023999999997
1.7864240000000002,27.5805632
1.688888,21.3508672
2.15828,104.488992
